checkpoint_stage,priority,contrast,metric,optimizer_step,clusters,paired_units,mean_delta,bootstrap_ci95_low,bootstrap_ci95_high,origin_means_left_better,origin_means_left_worse,classification,bootstrap_samples,bootstrap_seed_base,negative_delta_means
late,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,32,2,6,-3.588666789511308e-05,-0.00025625741522861123,0.0002703757975694998,1,1,uncertain,5000,20260729,left algorithm is better
late,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,48,2,6,-0.0035710314422987186,-0.004139693590597737,-0.003207240804287507,2,0,left_better,5000,20260729,left algorithm is better
late,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,64,2,6,-0.0037789212718640774,-0.004159969732051312,-0.0033996816558903666,2,0,left_better,5000,20260729,left algorithm is better
late,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,80,2,6,-0.0037384659120226114,-0.004245511725531855,-0.0032337224654092798,2,0,left_better,5000,20260729,left algorithm is better
late,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,96,2,6,-0.003024947978153003,-0.0034816893506256865,-0.002286678572807177,2,0,left_better,5000,20260729,left algorithm is better
late,primary,selective_none_vs_original_newton_muon,normalized_loss_auc,AUC_0_128,2,6,-0.002113405202746462,-0.0024386818634513827,-0.0017483913740389267,2,0,left_better,5000,20260729,left algorithm is better
late,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,0,2,6,0.0,0.0,0.0,0,0,uncertain,5000,20260729,left algorithm is better
late,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,112,2,6,0.003941905774196175,0.0007621927734176767,0.006950778713837202,0,2,left_worse,5000,20260729,left algorithm is better
late,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,128,2,6,0.002928435054267505,-1.07945780424649e-05,0.005513338656093418,0,2,uncertain,5000,20260729,left algorithm is better
late,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,16,2,6,-0.006828262341542213,-0.011936723820883066,-0.0024533188687985894,2,0,left_better,5000,20260729,left algorithm is better
late,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,32,2,6,-0.0059118192194106784,-0.010187753340000105,-0.0015947670900793298,2,0,left_better,5000,20260729,left algorithm is better
late,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,48,2,6,0.002004636211591415,-0.0018991788518778103,0.005862623908255982,1,1,uncertain,5000,20260729,left algorithm is better
late,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,64,2,6,0.003354603898911438,-0.0010119952954602551,0.007349835508349593,1,1,uncertain,5000,20260729,left algorithm is better
late,baseline,original_newton_muon_vs_muon,normalized_heldout_loss,80,2,6,0.005166648139006432,0.0016680630278472774,0.008618570460699582,0,2,left_worse,5000,20260729,left algorithm is better
