checkpoint_cell,checkpoint_stage,checkpoint_method,source_method,data_replica,trajectory_node,optimizer_step,heldout_loss,normalized_loss,loss_delta_from_step0,relative_loss_delta_from_step0,arm,source_trajectory_node
early_muon,early,muon,newton_full,2,production,48,3.5147509574890137,1.0017891890955213,0.006277322769165039,0.001789189095521387,production_newton_muon,production
early_muon,early,muon,newton_full,2,production,64,3.5116024017333984,1.0008917744122652,0.0031287670135498047,0.0008917744122650751,production_newton_muon,production
early_muon,early,muon,newton_full,2,production,80,3.509140729904175,1.0001901382919696,0.0006670951843261719,0.00019013829196964718,production_newton_muon,production
early_muon,early,muon,newton_full,2,production,96,3.497896432876587,0.9969852411776479,-0.010577201843261719,-0.00301475882235219,production_newton_muon,production
early_muon,early,muon,newton_full,2,production,112,3.4907515048980713,0.9949487635744504,-0.017722129821777344,-0.005051236425549612,production_newton_muon,production
early_muon,early,muon,newton_full,2,production,128,3.473026752471924,0.9898967796431067,-0.035446882247924805,-0.010103220356893244,production_newton_muon,production
early_newton_full,early,newton_full,newton_full,0,shared_all,0,3.5106844902038574,1.0,0.0,0.0,delayed_down_refresh,shared_all
early_newton_full,early,newton_full,newton_full,0,shared_all,16,3.4882097244262695,0.9935981812548803,-0.02247476577758789,-0.006401818745119654,delayed_down_refresh,shared_all
early_newton_full,early,newton_full,newton_full,0,shared_no_down,32,3.4917805194854736,0.994615303434093,-0.01890397071838379,-0.005384696565907032,delayed_down_refresh,shared_no_down
early_newton_full,early,newton_full,newton_full,0,shared_no_down,48,3.5121190547943115,1.000408628173354,0.0014345645904541016,0.00040862817335396597,delayed_down_refresh,shared_no_down
early_newton_full,early,newton_full,newton_full,0,delayed,64,3.5100319385528564,0.9998141240966478,-0.0006525516510009766,-0.00018587590335213643,delayed_down_refresh,delayed
early_newton_full,early,newton_full,newton_full,0,delayed,80,3.5241732597351074,1.0038422050084217,0.01348876953125,0.0038422050084218015,delayed_down_refresh,delayed
early_newton_full,early,newton_full,newton_full,0,delayed,96,3.518374443054199,1.0021904425965362,0.007689952850341797,0.002190442596536284,delayed_down_refresh,delayed
early_newton_full,early,newton_full,newton_full,0,delayed,112,3.5148849487304688,1.0011964785039305,0.004200458526611328,0.001196478503930559,delayed_down_refresh,delayed
early_newton_full,early,newton_full,newton_full,0,delayed,128,3.505584239959717,0.9985472205610124,-0.005100250244140625,-0.001452779438987542,delayed_down_refresh,delayed
early_newton_full,early,newton_full,newton_full,0,shared_all,0,3.5106844902038574,1.0,0.0,0.0,frozen_down_refresh,shared_all
early_newton_full,early,newton_full,newton_full,0,shared_all,16,3.4882097244262695,0.9935981812548803,-0.02247476577758789,-0.006401818745119654,frozen_down_refresh,shared_all
early_newton_full,early,newton_full,newton_full,0,shared_no_down,32,3.4917805194854736,0.994615303434093,-0.01890397071838379,-0.005384696565907032,frozen_down_refresh,shared_no_down
early_newton_full,early,newton_full,newton_full,0,shared_no_down,48,3.5121190547943115,1.000408628173354,0.0014345645904541016,0.00040862817335396597,frozen_down_refresh,shared_no_down
early_newton_full,early,newton_full,newton_full,0,frozen,64,3.509207010269165,0.999579147616707,-0.0014774799346923828,-0.0004208523832930908,frozen_down_refresh,frozen
early_newton_full,early,newton_full,newton_full,0,frozen,80,3.514230251312256,1.0010099913900814,0.0035457611083984375,0.0010099913900814663,frozen_down_refresh,frozen
early_newton_full,early,newton_full,newton_full,0,frozen,96,3.5092153549194336,0.9995815245464172,-0.0014691352844238281,-0.0004184754535827054,frozen_down_refresh,frozen
early_newton_full,early,newton_full,newton_full,0,frozen,112,3.5053417682647705,0.9984781537748564,-0.005342721939086914,-0.0015218462251435972,frozen_down_refresh,frozen
early_newton_full,early,newton_full,newton_full,0,frozen,128,3.4977877140045166,0.9963264211764606,-0.01289677619934082,-0.003673578823539319,frozen_down_refresh,frozen
early_newton_full,early,newton_full,newton_full,0,shared_all,0,3.5106844902038574,1.0,0.0,0.0,production_newton_muon,shared_all
early_newton_full,early,newton_full,newton_full,0,shared_all,16,3.4882097244262695,0.9935981812548803,-0.02247476577758789,-0.006401818745119654,production_newton_muon,shared_all
early_newton_full,early,newton_full,newton_full,0,production,32,3.4930927753448486,0.9949890926091204,-0.01759171485900879,-0.005010907390879571,production_newton_muon,production
early_newton_full,early,newton_full,newton_full,0,production,48,3.534883499145508,1.0068929603355627,0.02419900894165039,0.006892960335562712,production_newton_muon,production
early_newton_full,early,newton_full,newton_full,0,production,64,3.531397819519043,1.005900082839396,0.020713329315185547,0.005900082839396021,production_newton_muon,production
early_newton_full,early,newton_full,newton_full,0,production,80,3.5346906185150146,1.0068380193031141,0.024006128311157227,0.00683801930311409,production_newton_muon,production
early_newton_full,early,newton_full,newton_full,0,production,96,3.524712562561035,1.00399582257999,0.014028072357177734,0.003995822579990136,production_newton_muon,production
early_newton_full,early,newton_full,newton_full,0,production,112,3.5167438983917236,1.0017259905311269,0.006059408187866211,0.001725990531126981,production_newton_muon,production
early_newton_full,early,newton_full,newton_full,0,production,128,3.5056655406951904,0.9985703786476193,-0.005018949508666992,-0.0014296213523806445,production_newton_muon,production
early_newton_full,early,newton_full,newton_full,1,shared_all,0,3.574371099472046,1.0,0.0,0.0,delayed_down_refresh,shared_all
early_newton_full,early,newton_full,newton_full,1,shared_all,16,3.5658316612243652,0.9976109256677512,-0.008539438247680664,-0.0023890743322488215,delayed_down_refresh,shared_all
early_newton_full,early,newton_full,newton_full,1,shared_no_down,32,3.56707501411438,0.9979587778787872,-0.007296085357666016,-0.002041222121212788,delayed_down_refresh,shared_no_down
early_newton_full,early,newton_full,newton_full,1,shared_no_down,48,3.5903148651123047,1.0044605792729842,0.01594376564025879,0.00446057927298421,delayed_down_refresh,shared_no_down
early_newton_full,early,newton_full,newton_full,1,delayed,64,3.5912346839904785,1.0047179165366806,0.016863584518432617,0.004717916536680665,delayed_down_refresh,delayed
early_newton_full,early,newton_full,newton_full,1,delayed,80,3.6059556007385254,1.0088363799917544,0.03158450126647949,0.008836379991754269,delayed_down_refresh,delayed
early_newton_full,early,newton_full,newton_full,1,delayed,96,3.6012446880340576,1.0075184103200647,0.02687358856201172,0.007518410320064723,delayed_down_refresh,delayed
early_newton_full,early,newton_full,newton_full,1,delayed,112,3.5975732803344727,1.0064912624393851,0.023202180862426758,0.006491262439385168,delayed_down_refresh,delayed
early_newton_full,early,newton_full,newton_full,1,delayed,128,3.5846476554870605,1.0028750668940145,0.010276556015014648,0.0028750668940146005,delayed_down_refresh,delayed
early_newton_full,early,newton_full,newton_full,1,shared_all,0,3.574371099472046,1.0,0.0,0.0,frozen_down_refresh,shared_all
