experiment,scale,method,seed,step,val_loss,local_match
51,275m,global_diag,2026,350,3.8839294910430908,true
51,275m,global_diag,2026,400,3.8045094013214111,true
51,275m,global_diag,2026,450,3.7540557384490967,true
51,275m,global_diag,2026,500,3.7183101177215576,true
51,275m,global_diag,2026,550,3.6748960018157959,true
51,275m,global_diag,2026,600,3.6464011669158936,true
51,275m,global_diag,2026,650,3.6152255535125732,true
51,275m,global_diag,2026,700,3.5934047698974609,true
51,275m,global_diag,2026,750,3.5728561878204346,true
51,275m,global_diag,2026,800,3.551140308380127,true
51,275m,global_diag,2026,850,3.5345218181610107,true
51,275m,global_diag,2026,900,3.5156972408294678,true
51,275m,global_diag,2026,950,3.5027966499328613,true
51,275m,global_diag,2026,1000,3.4824597835540771,true
51,275m,global_diag,2026,1050,3.4609813690185547,true
51,275m,global_diag,2026,1100,3.4420955181121826,true
51,275m,global_diag,2026,1150,3.4217243194580078,true
51,275m,global_diag,2026,1200,3.405123233795166,true
51,275m,global_diag,2026,1250,3.3891491889953613,true
51,275m,global_diag,2026,1300,3.3711678981781006,true
51,275m,global_diag,2026,1350,3.3567924499511719,true
51,275m,global_diag,2026,1400,3.3419513702392578,true
51,275m,global_diag,2026,1450,3.3293774127960205,true
51,275m,global_diag,2026,1500,3.3162438869476318,true
51,275m,global_diag,2026,1550,3.3039653301239014,true
51,275m,global_diag,2026,1600,3.2933070659637451,true
51,275m,global_diag,2026,1650,3.2832043170928955,true
51,275m,global_diag,2026,1695,3.2760448455810547,true
51,275m,global_diag,2027,0,10.825837135314941,true
51,275m,global_diag,2027,50,5.1701593399047852,true
51,275m,global_diag,2027,100,4.7227644920349121,true
51,275m,global_diag,2027,150,4.3176794052124023,true
51,275m,global_diag,2027,200,4.1572670936584473,true
51,275m,global_diag,2027,250,4.0545377731323242,true
51,275m,global_diag,2027,300,3.9527738094329834,true
51,275m,global_diag,2027,350,3.8914668560028076,true
51,275m,global_diag,2027,400,3.8066787719726562,true
51,275m,global_diag,2027,450,3.7613933086395264,true
51,275m,global_diag,2027,500,3.7203845977783203,true
51,275m,global_diag,2027,550,3.678910493850708,true
51,275m,global_diag,2027,600,3.6505718231201172,true
51,275m,global_diag,2027,650,3.6203072071075439,true
51,275m,global_diag,2027,700,3.5950539112091064,true
51,275m,global_diag,2027,750,3.5759098529815674,true
51,275m,global_diag,2027,800,3.5529313087463379,true
51,275m,global_diag,2027,850,3.5366828441619873,true
51,275m,global_diag,2027,900,3.5190911293029785,true
51,275m,global_diag,2027,950,3.5022392272949219,true
51,275m,global_diag,2027,1000,3.4852893352508545,true
51,275m,global_diag,2027,1050,3.4634842872619629,true
51,275m,global_diag,2027,1100,3.4443891048431396,true
51,275m,global_diag,2027,1150,3.4232773780822754,true
51,275m,global_diag,2027,1200,3.406564474105835,true
51,275m,global_diag,2027,1250,3.390763521194458,true
51,275m,global_diag,2027,1300,3.3737876415252686,true
51,275m,global_diag,2027,1350,3.3583221435546875,true
51,275m,global_diag,2027,1400,3.3438184261322021,true
51,275m,global_diag,2027,1450,3.3316388130187988,true
51,275m,global_diag,2027,1500,3.3182790279388428,true
51,275m,global_diag,2027,1550,3.3062698841094971,true
51,275m,global_diag,2027,1600,3.2951278686523438,true
51,275m,global_diag,2027,1650,3.2848401069641113,true
51,275m,global_diag,2027,1695,3.2778091430664062,true
51,455m,global_diag,2024,0,10.825837135314941,true
51,455m,global_diag,2024,125,4.3350486755371094,true
51,455m,global_diag,2024,250,3.8625583648681641,true
51,455m,global_diag,2024,375,3.6847198009490967,true
51,455m,global_diag,2024,500,3.5699608325958252,true
51,455m,global_diag,2024,625,3.4912097454071045,true
51,455m,global_diag,2024,750,3.4367172718048096,true
