experiment,scale,seed,run_label,metric,exported_points,expected_points,common_points,step_set_exact,values_match,max_abs_error,status,note
52,124m_plus_1b_aggregate,2025,global_diag_seed2025,tokens/seen__max,311,311,311,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2024,global_diag_seed2024,tokens/seen__mean,311,311,311,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2024,global_diag_seed2024,tokens/seen__min,311,311,311,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2024,global_diag_seed2024,tokens/seen__max,311,311,311,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2026,global_diag_seed2026,train/loss_step__mean,310,310,310,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2026,global_diag_seed2026,train/loss_step__min,310,310,310,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2026,global_diag_seed2026,train/loss_step__max,310,310,310,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2025,global_diag_seed2025,train/loss_step__mean,310,310,310,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2025,global_diag_seed2025,train/loss_step__min,310,310,310,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2025,global_diag_seed2025,train/loss_step__max,310,310,310,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2024,global_diag_seed2024,train/loss_step__mean,310,310,310,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2024,global_diag_seed2024,train/loss_step__min,310,310,310,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2024,global_diag_seed2024,train/loss_step__max,310,310,310,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2026,global_diag_seed2026,val/loss__mean,63,63,63,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2026,global_diag_seed2026,val/loss__min,63,63,63,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2026,global_diag_seed2026,val/loss__max,63,63,63,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2025,global_diag_seed2025,val/loss__mean,63,63,63,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2025,global_diag_seed2025,val/loss__min,63,63,63,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2025,global_diag_seed2025,val/loss__max,63,63,63,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2024,global_diag_seed2024,val/loss__mean,63,63,63,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2024,global_diag_seed2024,val/loss__min,63,63,63,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2024,global_diag_seed2024,val/loss__max,63,63,63,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
