checkpoint_cell,checkpoint_stage,checkpoint_method,data_replica,contrast,contrast_class,left,right,metric,optimizer_step,left_value,right_value,delta_left_minus_right
early_muon,early,muon,2,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,112,0.994915669454297,0.9885445416617258,0.006371127792571207
early_muon,early,muon,2,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,128,0.9898798588301331,0.9854355291542549,0.004444329675878156
early_newton_full,early,newton_full,0,selective_diag_vs_muon,primary,selective_diag,muon,normalized_loss_auc,AUC_0_128,0.9993359622402305,1.002383551157436,-0.003047588917205468
early_newton_full,early,newton_full,0,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,0,1.0,1.0,0.0
early_newton_full,early,newton_full,0,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,16,0.993720491266549,1.0068394454609404,-0.013118954194391352
early_newton_full,early,newton_full,0,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,32,0.9947753726720181,1.006022596587897,-0.011247223915878957
early_newton_full,early,newton_full,0,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,48,1.0029161531932556,1.004622720813035,-0.0017065676197793866
early_newton_full,early,newton_full,0,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,64,1.001597160940824,1.0021836513687923,-0.0005864904279682115
early_newton_full,early,newton_full,0,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,80,1.0028073577247973,1.000807680715589,0.001999677009208334
early_newton_full,early,newton_full,0,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,96,1.0009227241135716,1.0004552159956774,0.00046750811789419977
early_newton_full,early,newton_full,0,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,112,0.9995098091814411,0.9994958192522886,1.3989929152469216e-05
early_newton_full,early,newton_full,0,selective_diag_vs_muon,primary,selective_diag,muon,normalized_heldout_loss,128,0.9968772576587731,0.9972825581305326,-0.00040530047175946216
early_newton_full,early,newton_full,0,selective_none_vs_muon,primary,selective_none,muon,normalized_loss_auc,AUC_0_128,0.9990889695317,1.002383551157436,-0.003294581625735926
early_newton_full,early,newton_full,0,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,0,1.0,1.0,0.0
early_newton_full,early,newton_full,0,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,16,0.9949738802589739,1.0068394454609404,-0.011865565201966466
early_newton_full,early,newton_full,0,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,32,0.9955030527247832,1.006022596587897,-0.010519543863113823
early_newton_full,early,newton_full,0,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,48,1.0013129480597394,1.004622720813035,-0.003309772753295581
early_newton_full,early,newton_full,0,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,64,1.00048061518744,1.0021836513687923,-0.0017030361813523687
early_newton_full,early,newton_full,0,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,80,1.00179274829985,1.000807680715589,0.00098506758426109
early_newton_full,early,newton_full,0,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,96,1.0005352166585013,1.0004552159956774,8.000066282387586e-05
early_newton_full,early,newton_full,0,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,112,0.999445224605596,0.9994958192522886,-5.059464669254776e-05
early_newton_full,early,newton_full,0,selective_none_vs_muon,primary,selective_none,muon,normalized_heldout_loss,128,0.9973361409174324,0.9972825581305326,5.3582786899819546e-05
early_newton_full,early,newton_full,0,selective_diag_vs_original_newton_muon,primary,selective_diag,original_newton_muon,normalized_loss_auc,AUC_0_128,0.9993359622402305,1.0016536002878937,-0.002317638047663273
early_newton_full,early,newton_full,0,selective_diag_vs_original_newton_muon,primary,selective_diag,original_newton_muon,normalized_heldout_loss,0,1.0,1.0,0.0
