check,status,severity_if_failed,evidence
moonlight_r1scale seed2025 lr/matrix: MIN/MAX mirrors,PASS,high,points=311
moonlight_r1scale seed2025 lr/matrix: finite,PASS,critical,finite=311/311
normuon_r1scale seed2025 lr/matrix: MIN/MAX mirrors,PASS,high,points=311
normuon_r1scale seed2025 lr/matrix: finite,PASS,critical,finite=311/311
adamw_low seed2025 lr/matrix: MIN/MAX mirrors,PASS,high,points=311
adamw_low seed2025 lr/matrix: finite,PASS,critical,finite=311/311
moonlight_r1scale seed2024 lr/matrix: MIN/MAX mirrors,PASS,high,points=311
moonlight_r1scale seed2024 lr/matrix: finite,PASS,critical,finite=311/311
normuon_r1scale seed2024 lr/matrix: MIN/MAX mirrors,PASS,high,points=311
normuon_r1scale seed2024 lr/matrix: finite,PASS,critical,finite=311/311
adamw_low seed2024 lr/matrix: MIN/MAX mirrors,PASS,high,points=311
adamw_low seed2024 lr/matrix: finite,PASS,critical,finite=311/311
moonlight_r1scale seed2026 lr/matrix: MIN/MAX mirrors,PASS,high,points=311
moonlight_r1scale seed2026 lr/matrix: finite,PASS,critical,finite=311/311
normuon_r1scale seed2026 lr/matrix: MIN/MAX mirrors,PASS,high,points=311
normuon_r1scale seed2026 lr/matrix: finite,PASS,critical,finite=311/311
adamw_low seed2026 lr/matrix: MIN/MAX mirrors,PASS,high,points=311
adamw_low seed2026 lr/matrix: finite,PASS,critical,finite=311/311
exact expected metric set,PASS,critical,"['lr/auxiliary', 'lr/matrix', 'memory/optimizer_state_mib', 'memory/peak_allocated_mib', 'performance/step_avg_ms', 'time/train_s', 'train/loss_step', 'val/loss']"
exact expected three methods,PASS,critical,"('adamw_low', 'moonlight_r1scale', 'normuon_r1scale')"
exact expected three seeds,PASS,critical,"(2024, 2025, 2026)"
no duplicate method/seed/metric/step grain,PASS,critical,duplicates=0
seed2024: identical extended initialization loss,PASS,critical,"{'adamw_low': 10.9462, 'moonlight_r1scale': 10.9462, 'normuon_r1scale': 10.9462}"
seed2025: identical extended initialization loss,PASS,critical,"{'adamw_low': 10.9869, 'moonlight_r1scale': 10.9869, 'normuon_r1scale': 10.9869}"
seed2026: identical extended initialization loss,PASS,critical,"{'adamw_low': 10.979, 'moonlight_r1scale': 10.979, 'normuon_r1scale': 10.979}"
adamw_low seed2024: expected frozen LR,PASS,critical,aux=0.0027; matrix=0.000432
adamw_low seed2025: expected frozen LR,PASS,critical,aux=0.0027; matrix=0.000432
adamw_low seed2026: expected frozen LR,PASS,critical,aux=0.0027; matrix=0.000432
normuon_r1scale seed2024: expected frozen LR,PASS,critical,aux=0.0003; matrix=0.01
normuon_r1scale seed2025: expected frozen LR,PASS,critical,aux=0.0003; matrix=0.01
normuon_r1scale seed2026: expected frozen LR,PASS,critical,aux=0.0003; matrix=0.01
moonlight_r1scale seed2024: expected frozen LR,PASS,critical,aux=0.0018; matrix=0.0018
moonlight_r1scale seed2025: expected frozen LR,PASS,critical,aux=0.0018; matrix=0.0018
moonlight_r1scale seed2026: expected frozen LR,PASS,critical,aux=0.0018; matrix=0.0018
seed2024: identical initialization across unified seven methods,PASS,critical,[10.9462]
seed2025: identical initialization across unified seven methods,PASS,critical,[10.9869]
seed2026: identical initialization across unified seven methods,PASS,critical,[10.979]
