stage,source_method,event_id,layer_index,nested_row_count,residual_median,residual_mean,residual_max,hard_gate,above_gate_count,condition_before_median,condition_after_median,relative_a_change_median,relative_runtime_inverse_change_median,matched_g_change_median,runtime_ns5_change_median
late,newton_full,delayed_refresh_64,3,3,0.00799441875312,0.00753657709193,0.00852436993924,0.01,0,26245.6800894,25127.5005163,0.101298903317,0.171363288545,0.349186122565,0.14705259909
late,newton_full,delayed_refresh_64,4,3,0.00581917691909,0.00599632135237,0.00681221334969,0.01,0,23379.7944485,20153.4498182,0.134662248396,0.343113755531,0.608448806324,0.284455524881
late,newton_full,delayed_refresh_64,5,3,0.00179780878784,0.00198750651211,0.00239152399236,0.01,0,15701.5621311,11147.9147191,0.152652153463,0.537410835656,0.728052148608,0.418082784113
late,newton_full,delayed_refresh_64,6,3,0.00153879626539,0.00148858224819,0.00172685791892,0.01,0,16891.2618673,13347.1765338,0.153432420309,0.550731179731,0.726512801748,0.423432372032
late,newton_full,delayed_refresh_64,7,3,0.000965485810308,0.000950020231978,0.000984134033116,0.01,0,11147.6115616,6671.01136685,0.170081198409,0.635041750266,0.792680700957,0.478562284363
late,newton_full,delayed_refresh_64,8,3,0.00059843769159,0.000623889536961,0.000698992727103,0.01,0,8051.40760702,4329.54209391,0.210349610568,0.684484954881,0.822235095421,0.509542635118
late,newton_full,delayed_refresh_64,9,3,0.000481684746412,0.000478982414686,0.000496868556071,0.01,0,2137.98799068,1209.1511656,0.526519372618,0.76387001277,0.868621841218,0.550796906328
late,newton_full,delayed_refresh_64,10,3,0.000468306244272,0.000467745958525,0.000490757028551,0.01,0,2030.500907,1186.59899143,0.55475541508,0.763760035418,0.863684202527,0.546306118296
late,newton_full,delayed_refresh_64,11,3,0.00047564454676,0.000480000877253,0.000492410576246,0.01,0,2910.71050166,1413.88657993,0.512714884426,0.764895103151,0.865611246409,0.547780080815
late,newton_full,delayed_refresh_64,12,3,0.000491059322098,0.000488529315676,0.000521659118962,0.01,0,3128.1674261,1629.25342146,0.497774694451,0.757892962271,0.860502860209,0.542932957268
late,newton_full,delayed_refresh_64,13,3,0.000502613740086,0.000524978788876,0.00058066021258,0.01,0,5036.5436377,3168.07030717,0.734434284546,0.757597937255,0.853489594929,0.536985710008
late,newton_full,delayed_refresh_64,14,3,0.000542897454294,0.000557450252546,0.000611412262762,0.01,0,3230.19398724,1960.74934506,0.474840984927,0.759752943936,0.858615487633,0.544116806818
late,newton_full,delayed_refresh_64,15,3,0.000684622896871,0.000698227501488,0.000785747683575,0.01,0,4959.00306914,3696.75679494,0.498046126733,0.732458234239,0.84549231941,0.536527522965
late,newton_full,delayed_refresh_64,16,3,0.000844145411805,0.000843981528233,0.000916464749635,0.01,0,6683.73581023,4626.16290526,0.418291440107,0.685617229743,0.822490218213,0.520699492413
late,newton_full,delayed_refresh_64,17,3,0.00138646949533,0.00136281664723,0.00140723597897,0.01,0,15794.6720183,15456.032259,0.781329377812,0.566945971232,0.745230733941,0.447525067067
late,newton_full,production_refresh_32,0,3,0.00621121804927,0.00627170415542,0.00661757416933,0.01,0,21044.1148555,21383.9254988,0.758731855831,0.449496598873,0.700603471703,0.38903678346
late,newton_full,production_refresh_32,1,3,0.00158585812926,0.00145620338869,0.0015964083417,0.01,0,2256.09079074,2139.1337204,0.684611049378,0.52772181638,0.752463923484,0.445879341754
late,newton_full,production_refresh_32,2,3,0.00149458254166,0.00170230934414,0.0022349787142,0.01,0,21011.876172,18716.7371099,0.132248605357,0.319826538688,0.559782668759,0.290180268322
late,newton_full,production_refresh_32,3,3,0.00742679053911,0.0089035717195,0.0119706170215,0.01,1,26245.7438061,25164.7844322,0.10883122391,0.170967137048,0.363697415218,0.153771056091
late,newton_full,production_refresh_32,4,3,0.00701209818309,0.00639448374172,0.00705758084311,0.01,0,23379.8163187,20254.852557,0.13926876315,0.333092743016,0.587305697463,0.290152203612
late,newton_full,production_refresh_32,5,3,0.00188937250715,0.00193335632149,0.00217376732718,0.01,0,15701.5866192,11373.3182769,0.154220725879,0.523989030328,0.725139501562,0.424958315076
late,newton_full,production_refresh_32,6,3,0.00144492189968,0.00148479115745,0.00190369514213,0.01,0,16891.2923509,13264.9771808,0.162745941414,0.535756627284,0.724474777691,0.42887208064
late,newton_full,production_refresh_32,7,3,0.000928709585026,0.00089543009772,0.000985211915647,0.01,0,11147.6173305,6825.16752672,0.164600149964,0.621326925913,0.793659070965,0.490332737373
late,newton_full,production_refresh_32,8,3,0.000664596922989,0.000654297152817,0.000698182700195,0.01,0,8051.41089933,4490.81843096,0.213671462382,0.675552713265,0.821607488249,0.52302440914
late,newton_full,production_refresh_32,9,3,0.000485087950409,0.000499052200155,0.000545216501855,0.01,0,2137.98711507,1234.32757688,0.562281683809,0.7594605602,0.869437224457,0.566056998478
late,newton_full,production_refresh_32,10,3,0.000467843514076,0.000469311742915,0.000484411031843,0.01,0,2030.52982598,1216.87660677,0.581960812789,0.760150060393,0.864928684683,0.566223840747
late,newton_full,production_refresh_32,11,3,0.00047923691217,0.000497875985325,0.000536454783538,0.01,0,2910.7114811,1424.81623139,0.543045912473,0.761910740118,0.865490661781,0.568317434191
late,newton_full,production_refresh_32,12,3,0.000495138380744,0.000498629390748,0.000535450542434,0.01,0,3128.16646854,1651.26361083,0.533756140864,0.756006177693,0.860446490495,0.563802994617
late,newton_full,production_refresh_32,13,3,0.000519994008515,0.000535082311252,0.000571308552326,0.01,0,5036.54846993,3128.60555125,0.728271660632,0.755108185876,0.858214632854,0.557426623233
late,newton_full,production_refresh_32,14,3,0.000564852414554,0.000577362476585,0.000629121428809,0.01,0,3230.19314644,2012.2811401,0.477661656335,0.758531555973,0.862203076872,0.562689902973
late,newton_full,production_refresh_32,15,3,0.000686295084188,0.000685043538353,0.000701665513124,0.01,0,4959.00890876,3727.47920058,0.543679543484,0.734031212137,0.853847323446,0.555479568528
late,newton_full,production_refresh_32,16,3,0.000826518374701,0.000845931167687,0.000900019314974,0.01,0,6684.01821579,4506.94461621,0.458630201927,0.689306623556,0.835435064102,0.539134384976
late,newton_full,production_refresh_32,17,3,0.00136063336348,0.00135327922808,0.00136861246889,0.01,0,15794.6188825,15426.120774,0.776779284341,0.576751349189,0.783351983993,0.466692553515
