suite,seed,method,validation_loss_threshold,first_wandb_step_at_or_below,time_elapsed_at_first_step_s
owt18l_3k,2025,no_cproj_k,6.1,500.0,42.22209930419922
owt18l_3k,2025,no_cproj_k,6.0,1000.0,80.96965336799622
owt18l_3k,2025,no_cproj_k,5.8,1000.0,80.96965336799622
owt18l_3k,2025,no_cproj_k,5.7,1000.0,80.96965336799622
owt18l_3k,2025,no_cproj_k,5.6,1500.0,119.95404410362244
owt18l_3k,2025,no_cproj_k,5.5,1500.0,119.95404410362244
owt18l_3k,2025,no_cproj_k,5.2,2000.0,159.56951069831848
owt18l_3k,2025,no_cproj_k,5.1,2500.0,198.39211225509644
owt18l_3k,2025,no_cproj_k,5.0,,
owt18l_3k,2025,no_cproj_k,4.0,,
owt18l_3k,2025,no_cproj_k,3.9,,
owt18l_3k,2025,no_cproj_k,3.8,,
owt18l_3k,2025,no_cproj_k,3.7,,
owt18l_3k,2025,no_cproj_k,3.6,,
owt18l_3k,2025,no_cproj_k,3.55,,
owt18l_3k,2025,no_cproj_k,3.5,,
owt18l_3k,2025,paper_block4,6.2,500.0,45.06351566314697
owt18l_3k,2025,paper_block4,6.1,500.0,45.06351566314697
owt18l_3k,2025,paper_block4,6.0,1000.0,87.24808049201965
owt18l_3k,2025,paper_block4,5.8,1000.0,87.24808049201965
owt18l_3k,2025,paper_block4,5.7,1000.0,87.24808049201965
owt18l_3k,2025,paper_block4,5.6,1000.0,87.24808049201965
owt18l_3k,2025,paper_block4,5.5,1500.0,129.40720558166504
owt18l_3k,2025,paper_block4,5.2,2000.0,172.08151936531067
owt18l_3k,2025,paper_block4,5.1,2500.0,214.6100299358368
owt18l_3k,2025,paper_block4,5.0,,
owt18l_3k,2025,paper_block4,4.0,,
owt18l_3k,2025,paper_block4,3.9,,
owt18l_3k,2025,paper_block4,3.8,,
owt18l_3k,2025,paper_block4,3.7,,
owt18l_3k,2025,paper_block4,3.6,,
owt18l_3k,2025,paper_block4,3.55,,
owt18l_3k,2025,paper_block4,3.5,,
owt18l_3k,2026,diag_cproj_k,6.2,500.0,46.7723560333252
owt18l_3k,2026,diag_cproj_k,6.1,500.0,46.7723560333252
owt18l_3k,2026,diag_cproj_k,6.0,1000.0,89.69473314285278
owt18l_3k,2026,diag_cproj_k,5.8,1000.0,89.69473314285278
owt18l_3k,2026,diag_cproj_k,5.7,1000.0,89.69473314285278
owt18l_3k,2026,diag_cproj_k,5.6,1500.0,133.03527569770813
owt18l_3k,2026,diag_cproj_k,5.5,1500.0,133.03527569770813
owt18l_3k,2026,diag_cproj_k,5.2,2500.0,220.18524312973025
owt18l_3k,2026,diag_cproj_k,5.1,2500.0,220.18524312973025
owt18l_3k,2026,diag_cproj_k,5.0,,
owt18l_3k,2026,diag_cproj_k,4.0,,
owt18l_3k,2026,diag_cproj_k,3.9,,
owt18l_3k,2026,diag_cproj_k,3.8,,
