suite,metric,left_method,right_method,comparison,paired_seed_count,left_better_seed_count,mean_paired_delta,std_paired_delta,min_paired_delta,max_paired_delta
owt24l_12k,val/loss__noninitial_mean,muon_blog,paper_block4,left_minus_right,3,0,0.13902400887530764,0.015218843147866831,0.1227117414059844,0.15284102895985452
owt24l_12k,val/loss__noninitial_mean,muon_blog,no_cproj_k,left_minus_right,3,0,0.23945198197295733,0.008575212220796895,0.23006242254506049,0.24686914941538962
owt24l_12k,val/loss__noninitial_mean,muon_blog,diag_cproj_k,left_minus_right,3,0,0.2607086499532067,0.01137425961873117,0.24761666422304973,0.2681622297867481
owt24l_12k,val/loss__noninitial_mean,diag_cproj_k,no_cproj_k,left_minus_right,3,3,-0.02125666798024935,0.003684355057716772,-0.024922681891400345,-0.017554241677989246
owt24l_12k,val/loss__noninitial_mean,diag_cproj_k,paper_block4,left_minus_right,3,3,-0.12168464107789904,0.019561278961580244,-0.1436353144438378,-0.10609740796296574
owt24l_12k,val/loss__noninitial_mean,no_cproj_k,paper_block4,left_minus_right,3,3,-0.10042797309764968,0.0160707112193721,-0.11871263255243747,-0.0885431662849765
wikitext12l_100m,val/loss__noninitial_mean,muon_blog,paper_block4,left_minus_right,3,3,-0.02825725409719689,0.005026534722879097,-0.03384349743525217,-0.02409977714220668
wikitext12l_100m,val/loss__noninitial_mean,muon_blog,no_cproj_k,left_minus_right,3,3,-0.03236005703608195,0.004111675899626809,-0.03710415959358215,-0.02982677022616098
wikitext12l_100m,val/loss__noninitial_mean,muon_blog,diag_cproj_k,left_minus_right,3,3,-0.027003427346547444,0.003922932165044791,-0.03153321146965027,-0.02472480138142874
wikitext12l_100m,val/loss__noninitial_mean,diag_cproj_k,no_cproj_k,left_minus_right,3,3,-0.005356629689534505,0.00025507566835058745,-0.005570948123931885,-0.005074501037597656
wikitext12l_100m,val/loss__noninitial_mean,diag_cproj_k,paper_block4,left_minus_right,3,2,-0.001253826750649445,0.00163133616193193,-0.0023102859656018992,0.0006250242392220606
wikitext12l_100m,val/loss__noninitial_mean,no_cproj_k,paper_block4,left_minus_right,3,0,0.00410280293888506,0.001690954807801587,0.00299828251202916,0.006049464146296035
wikitext24l_12k_lr001,val/loss__noninitial_mean,muon_blog,paper_block4,left_minus_right,3,0,0.15982933320860937,0.016897275472239213,0.14936051161392871,0.1793228025021758
wikitext24l_12k_lr001,val/loss__noninitial_mean,muon_blog,no_cproj_k,left_minus_right,3,0,0.2574156470920726,0.016864566261543572,0.2474520932073183,0.27688739610754887
wikitext24l_12k_lr001,val/loss__noninitial_mean,muon_blog,diag_cproj_k,left_minus_right,3,0,0.2816128730773926,0.023355049280429408,0.2659118901128359,0.30845198423966114
wikitext24l_12k_lr001,val/loss__noninitial_mean,diag_cproj_k,no_cproj_k,left_minus_right,3,3,-0.024197225985319964,0.0067027158395167475,-0.03156458813211227,-0.018459796905517578
wikitext24l_12k_lr001,val/loss__noninitial_mean,diag_cproj_k,paper_block4,left_minus_right,3,3,-0.12178353986878321,0.007034908612474361,-0.12912918173748533,-0.1151072046031123
wikitext24l_12k_lr001,val/loss__noninitial_mean,no_cproj_k,paper_block4,left_minus_right,3,3,-0.09758631388346324,0.0009499525776585639,-0.09854694034742195,-0.09664740769759472
