contrast_scope,candidate,reference,metric,n_pairs,delta_definition,repeat_0_delta,repeat_1_delta,repeat_2_delta,repeat_3_delta,mean_delta,median_delta,stdev_delta,ci95_lower,ci95_upper,t_critical_df3,repeat_0_relative_pct,repeat_1_relative_pct,repeat_2_relative_pct,repeat_3_relative_pct,mean_relative_pct,relative_ci95_lower_pct,relative_ci95_upper_pct,throughput_band_pct,descriptive_classification
primary,down_none,newton_full,timed_training_peak_reserved_bytes,4,candidate_minus_reference_within_repeat,-6723469312.0,-6723469312.0,-6723469312.0,-6723469312.0,-6723469312.0,-6723469312.0,0.0,-6723469312.0,-6723469312.0,3.182446,-17.350362593354262,-17.350362593354262,-17.350362593354262,-17.350362593354262,-17.350362593354262,-17.350362593354262,-17.350362593354262,,not_classified_by_throughput_band
primary,down_none,newton_full,k_state_bytes,4,candidate_minus_reference_within_repeat,-4362338304.0,-4362338304.0,-4362338304.0,-4362338304.0,-4362338304.0,-4362338304.0,0.0,-4362338304.0,-4362338304.0,3.182446,-70.65341994650363,-70.65341994650363,-70.65341994650363,-70.65341994650363,-70.65341994650363,-70.65341994650363,-70.65341994650363,,not_classified_by_throughput_band
primary,down_none,newton_full,optimizer_state_bytes,4,candidate_minus_reference_within_repeat,-4362338304.0,-4362338304.0,-4362338304.0,-4362338304.0,-4362338304.0,-4362338304.0,0.0,-4362338304.0,-4362338304.0,3.182446,-40.99538339970212,-40.99538339970212,-40.99538339970212,-40.99538339970212,-40.99538339970212,-40.99538339970212,-40.99538339970212,,not_classified_by_throughput_band
primary,down_diag,muon,step_avg_ms,4,candidate_minus_reference_within_repeat,117.82211688841926,128.29154569772072,114.06780382458237,102.06380198360421,115.56131709858164,115.94496035650081,10.82563981257343,98.33531003909911,132.78732415806417,3.182446,1.6091446457546121,1.7549528925014268,1.5584590530954845,1.3924220554826006,1.578744661708531,1.3407674882224405,1.8167218351946215,1.0,candidate_higher_step_avg_ms_outside_descriptive_band
primary,down_diag,muon,steps_per_s,4,candidate_minus_reference_within_repeat,-0.002162870674342149,-0.0023592682949788446,-0.002096580825036415,-0.0018735468074169148,-0.0021230666504435808,-0.002129725749689282,0.00020028082635076164,-0.0024417581077919187,-0.001804375193095243,3.182446,-1.583661245613932,-1.7246854748735885,-1.5345438160702218,-1.3732999244466804,-1.5540476152511058,-1.7847189253642157,-1.3233763051379959,1.0,candidate_lower_steps_per_s_outside_descriptive_band
primary,down_diag,muon,tokens_per_s,4,candidate_minus_reference_within_repeat,-1133.9671401094965,-1236.9360558378685,-1099.2121675966919,-982.2781085669994,-1113.098368027764,-1116.5896538530942,105.00483388578812,-1280.1844748180094,-946.0122612375187,3.182446,-1.583661245613932,-1.7246854748735885,-1.5345438160702218,-1.3732999244466804,-1.5540476152511058,-1.7847189253642157,-1.3233763051379959,1.0,candidate_lower_tokens_per_s_outside_descriptive_band
primary,down_diag,muon,timed_training_peak_allocated_bytes,4,candidate_minus_reference_within_repeat,2783622144.0,2783622144.0,2783622144.0,2783622144.0,2783622144.0,2783622144.0,0.0,2783622144.0,2783622144.0,3.182446,9.866366850517828,9.866366850517828,9.866366850517828,9.866366850517828,9.866366850517828,9.866366850517828,9.866366850517828,,not_classified_by_throughput_band
primary,down_diag,muon,timed_training_peak_reserved_bytes,4,candidate_minus_reference_within_repeat,2743074816.0,2743074816.0,2743074816.0,2743074816.0,2743074816.0,2743074816.0,0.0,2743074816.0,2743074816.0,3.182446,9.366272824919442,9.366272824919442,9.366272824919442,9.366272824919442,9.366272824919442,9.366272824919442,9.366272824919442,,not_classified_by_throughput_band
primary,down_diag,muon,k_state_bytes,4,candidate_minus_reference_within_repeat,1812731904.0,1812731904.0,1812731904.0,1812731904.0,1812731904.0,1812731904.0,0.0,1812731904.0,1812731904.0,3.182446,,,,,,,,,not_classified_by_throughput_band
primary,down_diag,muon,optimizer_state_bytes,4,candidate_minus_reference_within_repeat,1812731904.0,1812731904.0,1812731904.0,1812731904.0,1812731904.0,1812731904.0,0.0,1812731904.0,1812731904.0,3.182446,40.5826105839459,40.5826105839459,40.5826105839459,40.5826105839459,40.5826105839459,40.5826105839459,40.5826105839459,,not_classified_by_throughput_band
